web-scraper-order,web-scraper-start-url,listing_link,listing_link-href,price,no_bed,no_bath,no_rec,size,type,address,EPC
1710860518-1,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes220363,"£1,500,000",5Bedrooms,3Bathrooms,4Receptions,"3,050 sq ft (283.35 sq m)",House,"Peppard Common, Henley-on-Thames, Oxfordshire, RG9 5EL",EPC Rating: C
1710860521-2,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes230257,"£995,000",5Bedrooms,3Bathrooms,3Receptions,"1,956 sq ft (181.72 sq m)",House,"Sonning, Reading, Oxfordshire, RG4 6TZ",EPC Rating: D
1710860524-3,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbwbrsrdl230121,"£245,000",1Bedrooms,1Bathrooms,1Receptions,599 sq ft (55.65 sq m),Flat / Apartment,"Reading, Berkshire, RG2 0NZ",EPC Rating: C
1710860530-5,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes220401,"£1,975,000",5Bedrooms,3Bathrooms,2Receptions,"4,687 sq ft (435.44 sq m)",House,"Cane End, Reading, RG4 9HR",EPC Rating: E
1710860532-6,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes240037,"£600,000",4Bedrooms,3Bathrooms,3Receptions,"2,146 sq ft (199.37 sq m)",New development,"Binfield Heath, Henley-on-Thames, Oxfordshire, RG9 4EJ",EPC Rating: E
1710860535-7,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes200356,"£950,000",4Bedrooms,3Bathrooms,3Receptions,"1,907 sq ft (177.17 sq m)",House,"Cane End, Oxfordshire, RG4 9HD",EPC Rating: C
1710860537-8,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes240006,"£695,000",3Bedrooms,1Bathrooms,1Receptions,"1,297 sq ft (120.50 sq m)",Bungalow,"Shiplake Cross, Henley-on-Thames, Oxfordshire, RG9 4BU",EPC Rating: D
1710860540-9,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes230186,"£1,625,000",5Bedrooms,3Bathrooms,4Receptions,"2,911 sq ft (270.44 sq m)",House,"Hurst, Berkshire, RG10 0EE",EPC Rating: D
1710860545-11,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes240051,"£600,000",3Bedrooms,2Bathrooms,2Receptions,"1,599 sq ft (148.55 sq m)",New development,"Henley-on-Thames, Oxfordshire, RG9 4DU",EPC Rating: C
1710860548-12,https://search.savills.com/list?SearchList=Id_37512+Category_TownVillageCity&Tenure=GRS_T_B&SortOrder=SO_PCDD&Currency=GBP&ResidentialSizeUnit=SquareFeet&LandAreaUnit=Acre&SaleableAreaUnit=SquareMeter&Category=GRS_CAT_RES&Shapes=W10&_gl=1*19u8lce*_ga*MTk4MjI3NTQ0LjE3MTA3OTk2OTA.*_ga_DH58YLS8J6*MTcxMDg2MDE5OS40LjAuMTcxMDg2MDE5OS4wLjAuMA..,loadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloadingloading,https://search.savills.com/property-detail/gbhershes240031,"£895,000",4Bedrooms,2Bathrooms,3Receptions,"1,665 sq ft (154.68 sq m)",House,"Peppard Common, Henley-on-Thames, Oxfordshire, RG9 5HJ",EPC Rating: E